name,identifier,parent
Southeast Guadalcanal,None,guad1241
Nuclear Guadalcanal-Nggelic,None,guad1241
North and West Guadalcanal,None,nucl1470
Nggelic,None,nucl1470
Longgu-Malaita-Makira,None,sout2853
Malaita-Makira,None,mala1485
Makira,None,mala1540
Malaita,None,mala1540
Southern Malaita,None,mala1542
Central-Northern Malaita,None,mala1542
North Malaitan,None,nort2833
Temotu,None,ocea1241
Reefs-Santa Cruz,None,temo1244
Natugu-Nalogo,None,reef1242
Utupua-Vanikoro,None,temo1244
Utupua,None,utup1237
Admiralty Islands,None,ocea1241
Western Admiralty Islands,None,admi1239
Anchorite,None,west2532
Eastern Admiralty Islands,None,admi1239
South-East Admiralty,None,east2459
Lou-Paluai,None,sout2879
Manus,None,east2459
West Manus,None,manu1262
West Manus I,None,west2533
West Manus II,None,west2533
Mokoreng-Loniu,None,manu1262
East Manus,None,manu1262
Kurti-Kele-Ere,None,east2460
Kurti-Elu,None,kurt1251
Koro-Lele-Nali-Titan,None,east2460
Manus Koro,None,koro1314
St. Matthias,None,ocea1241
Micronesian,None,ocea1241
Nuclear Micronesian,None,micr1243
Central Micronesian,None,micr1244
Western Micronesian,None,cent2276
Chuukic-Ponapeic,None,west2844
Trukic,None,pona1247
Western Trukic,None,truk1243
Sonsorol-Tobi,None,west2855
Nuclear Trukic,None,truk1243
Central Trukic,None,nucl1749
Eastern Trukic,None,cent2290
Puluwatese-Pollapese,None,east2764
Mortlockese-Trukese,None,east2764
Satawalese-Carolinian,None,cent2290
Macro-Carolinian,None,sata1238
Murilo-Fanapanges,None,macr1274
Ponapeic,None,pona1247
Southern Melanesian,None,ocea1241
New Caledonian,None,sout3173
Loyalty Islands,None,newc1243
Mainland New Caledonian,None,newc1243
Northern New Caledonian,None,main1286
Mid-Northern New Caledonian,None,nort3325
Voh-Kone-Cem-Pac,None,nort3211
Voh-Kone,None,vohk1236
Bwatooic,None,vohk1234
Haeke-Bwatoo,None,bwat1242
Cem-Pac,None,vohk1236
Nmi-Pij-Fwa-Pam-Pap,None,nort3211
Nmi-Fij-Fwa,None,nmip1235
