name,identifier,parent
Bidyaric,None,sout2765
Eastern Maric,None,mari1445
Yuulngu,None,pama1250
Western-Inland Yolngu,None,yuul1239
Southern Yolngu,None,yuul1239
Southern-Eastern Yolngu,None,sout3142
Dhuwal-Dhuwala,None,sout3149
Western Dhuwal-Dhuwala,None,dhuw1248
Eastern Dhuwal-Dhuwala,None,dhuw1248
South-West Pama-Nyungan,None,pama1250
Kartu-Nhanda,None,sout3134
Kartu,None,kart1249
Pilbara,None,sout3134
Ngayarda,None,pilb1234
Central Ngayarda,None,ngay1241
Ngarluma-Kariyarra,None,cent2248
Yindjibarndi-Kurrama,None,cent2248
Panytyima-Yinhawangka,None,cent2248
Northern Ngayarda,None,ngay1241
Kanyara,None,pilb1234
Thalanyji-Burduna,None,kany1246
Mantharta,None,pilb1234
Djiwarli-Thiin,None,mant1266
Wariyangga-Dhargari,None,mant1266
Mirning,None,sout3134
Nyawaygic,None,pama1250
Southeastern Pama-Nyungan,None,pama1250
Victorian Pama-Nyungan,None,sout3135
Lower Murray,None,vict1234
Yaraldi-Keramin-Yitha,None,lowe1401
Eastern Victoria,None,vict1234
Dhudhuroa-Pallanganmiddang,None,east2706
Kulin-Bunganditj,None,vict1234
Kulin,None,kuli1256
Nuclear Kulin,None,kuli1251
Warrnambool-Bunganditj,None,kuli1256
Wiradhuric,None,sout3135
North Coast Pama-Nyungan,None,sout3135
Waka-Kabic,None,nort3154
Western Waka-Kabic,None,waka1283
Eastern Waka-Kabic,None,waka1283
Gumbaynggiric,None,nort3154
New South Wales Pama-Nyungan,None,sout3135
Greater Bandjalangic,None,news1235
Bandjalangic,bnj;gid;bca;byu;bwa,band1357
Inland Bandjalang,None,band1339
Coastal Bandjalang,None,band1339
Yuin-Kuri,None,news1235
Kuri,None,yuin1243
Hunter-Hastings,None,kuri1270
Sydney-Hawkesbury,None,kuri1270
Yuin,None,yuin1243
Northern Costal Yuin,None,yuin1242
Muruwaric,None,news1235
Yimidhirr-Yalanji-Yidinic,None,pama1250
Yalandyic,None,yimi1234
Yidinic,None,yimi1234
Yarli-Baagandji,None,pama1250
Rockhampton-Gladstone,None,pama1250
Ngarna,None,pama1250
Southern Ngarna,None,ngar1290
Thawa,None,sout2766
Ngarru,None,sout2766
Arandic-Thura-Yura,None,pama1250
Thura-Yura,None,aran1266
Core Thura Yura,None,thur1253
Southern Thura-Yura,None,core1260
Northern Thura-Yura,None,core1260
Unclassified Core Thura-Yura,None,core1260
Arandic,None,aran1266
Aranda,None,aran1267
Ganaic,None,pama1250
Karnic,None,pama1250
Palku,None,karn1253
Arabana-Wangganguru,None,palk1239
Pitta-Pitta,None,palk1239
Pirriya-Kungkari,None,karn1253
Central Karnic,None,karn1253
Western Central Karnic,None,cent2016
Pirlatapa-Dieric,None,west2438
Dieric,None,pirl1239
Yandruwandhic,None,west2438
Mithaka-Karuwali,None,cent2016
Gumuz,None,tree
Daats'iin-Southern Gumuz,None,gumu1250
Amto-Musan,None,tree
Limilngan-Wulna,genus/limilngan,tree
Central Sudanic,None,tree
Lenduic,None,cent2225
Bale,None,lend1246
Membi-Mangbutu-Efe,None,cent2225
Mangbutu-Efe,None,memb1239
Leseic,None,mang1425
Unclassified Membi-Mangbutu-Efe,None,memb1239
Mangbetu-Asua,None,cent2225
Mangbetuic,None,mang1393
Moru-Madi,None,cent2225
Central Moru-Madi,None,moru1252
Kalikoic,None,cent2043
Southern Moru-Madi,None,moru1252
Sara-Bongo-Bagirmi,None,cent2225
SBB Occidental,None,sara1341
Nuclear SBB Occidental,None,sbbo1237
Nduga-Luto,None,nucl1719
Fer-Gula-Koto,None,nucl1719
Saraic,None,nucl1719
Sara Peripherique,None,sara1349
Koulfaic,None,sara1318
Barh Keita,None,sara1318
Sara-Kaba,None,barh1234
Bagirmic,None,sara1349
Morom-Jaya-Naba,None,bagi1248
Naba-Berakou,None,moro1296
Bayo-Morom,None,moro1296
Sara Central,None,sara1349
Sara Central Chari,None,cent2044
Sara Central Logone,None,cent2044
Gore,None,sara1345
Sara Central Logone-Chari,None,cent2044
Sido,None,sara1346
Bediondo,None,sara1346
Baka-Beli,None,sara1341
Morokodo-Beli,None,moro1282
Gberi-Morokodo-Mittu,None,moro1293
Lori,None,moro1293
Iwaidjan Proper,None,tree
Central Iwaidjic,None,iwai1246
Eskimo-Aleut,genus/eskimo,tree
Eskimo,None,eski1264
Inuit,None,eski1265
Alaskan Inupiaq,None,inui1246
Greenlandic Inuit,None,inui1246
Yupik,None,eski1265
Aleutic,None,eski1264
Chumashan,None,tree
Southern Chumashan,None,chum1262
Central Chumashan,None,sout3132
Ta-Ne-Omotic,None,tree
Ometo,None,gong1255
North-West Ometo,None,omet1238
Central Ometo,None,nort3161
Dawro-Gofa-Gamo,None,cent2046
East Ometo,None,omet1238
Kefoid,None,gong1255
South Gonga,None,gong1256
Tarascan,genus/tarascan,tree
Nyimang,genus/nyimang,tree
Great Andamanese,genus/greatandamanese,tree
South Great Andamanese,None,grea1241
North Andamanese-Akakede,None,grea1241
Northern Great Andamanese,None,nort3276
Bo-Cari,None,nort2678
Jeru-Kora,None,nort2678
Middle Great Andamanese,None,grea1241
Okol-Opucikwar,None,midd1323
Tuu,None,tree
Hua,None,tuuu1241
Taa,None,huaa1247
!Ui,None,tuuu1241
Eastern !Ui,None,kwii1241
Turama-Kikori,None,tree
Turama-Omatian,None,tura1263
Bogia,genus/monumbo,tree
Jarawa-Onge,None,tree
Chonan,None,tree
Insular Chonan,None,chon1288
Continental Chonan,None,chon1288
Charruan,None,tree
Doso-Turumsa,None,tree
Cahuapanan,genus/cahuapanan,tree
Yam,None,tree
Morehead-Maro,None,more1255
Nambu,None,more1256
Namo-Len,None,namb1292
Nama-Dre,None,namb1292
Tonda,None,more1256
Eastern Tonda,None,tond1250
Kanum,None,more1255
Ngkrn-Ngkantr,None,kanu1280
Ngkantr,None,ngkr1234
Western Daly,None,tree
Bringen,None,west2434
Maringarr-Matige,None,brin1245
Marithielic,None,brin1245
Maranunggu-Ame-Manda,None,west2434
Ame-Manda,None,waga1259
Wintuan,genus/wintuan,tree
Palaihnihan,genus/palaihnihan,tree
Mongolic-Khitan,None,tree
Mongolic,genus/mongolic,mong1349
Southern Periphery Mongolic,None,mong1329
Shirongol,None,sout2705
Baoanic,None,shir1260
Eastern Mongolic,None,mong1329
Khalkha-Buriat,None,oira1260
Buriat,None,khal1273
Mongolian,None,khal1273
Wakashan,family/wakashan,tree
Northern Wakashan,genus/northernwakashan,waka1280
Kwakiutlan,None,nort2964
Southern Wakashan,genus/southernwakashan,waka1280
Makah-Nitinat,None,sout2981
South Omotic,None,tree
AHK,None,sout2845
Aari-Gayil,None,ahkk1235
Hamer-Karo,None,ahkk1235
Austroasiatic,None,tree
Khasi-Palaung,None,aust1305
Palaungic,None,khas1273
East Palaungic,None,pala1352
Angkuic,None,east2331
Southern Angkuic,None,angk1246
Waic,None,east2331
Wa-Lawa,None,waic1245
Nuclear Waic,None,wala1271
Lawa,None,wala1271
Bulangic,None,waic1245
Khao-Bit,None,east2331
West Palaungic,None,pala1352
Palaung,None,west2791
Riang,None,west2791
Khasian,genus/khasian,khas1273
Khasi-Pnar-Lyngngam,None,khas1268
Khasi-Pnar,None,khas1274
Lyngngamic,None,khas1274
Katuic,genus/katuic,aust1305
West Katuic,None,katu1271
Kuy-Souei,None,west1492
Brou-So,None,west1492
Eastern Bru-Katang,None,brou1236
Katang,None,east2783
Western Bru-So,None,brou1236
Katu,None,katu1271
Nuclear Katu,ktu,katu1272
Ta'oihic,None,katu1271
Ong-Ta'oih,None,taoi1247
Mundaic,None,aust1305
North Munda,None,mund1335
Kherwarian,None,nort3151
Santalic,None,kher1245
Mundaric,None,kher1245
Ho-Mundari,None,mund1336
Kodaku-Korwa,None,mund1336
Asuric,None,mund1336
Gutob-Remo,None,mund1335
Sora-Juray-Gorum,None,mund1335
Sora-Juray,None,sora1255
Monic,genus/monic,aust1305
Nicobaric,None,aust1305
Nuclear Nicobaric,None,nico1262
Chowra-Teressa,None,nucl1758
Central Nicobar,None,nucl1758
Mangic,None,aust1305
Pakanic,None,mang1377
Vietic,None,aust1305
Cuoi,None,viet1250
Viet-Muong,genus/vietmuong,viet1250
Muongic,None,viet1251
Chutic,None,viet1250
East Chutic,None,chut1252
Pearic,None,aust1305
Western Pearic,None,pear1246
Southern Chong,None,west2394
Aslian,genus/aslian,aust1305
South Aslian,None,asli1243
Semelai-Semaq,None,sout2686
Central-Northern Aslian,None,asli1243
Senoic,None,cent1987
Lanoh-Semnam-Temiar,None,seno1278
Lanoh-Semnam,None,lano1244
Lanohic,None,lano1246
North Aslian,None,cent1987
Maniq-Menraq-Batek,None,nort2682
Maniqic,None,mani1290
Menraq-Batek,None,mani1290
Batekic,None,menr1235
Khmuic,None,aust1305
Phay-Pram,None,khmu1236
Tin,None,phay1242
Pramic,None,phay1242
Khmu',None,khmu1236
Khmeric,None,aust1305
Bahnaric,None,aust1305
North Bahnaric,None,bahn1264
Kayong-Jeh-Halang,None,nort3150
Unclassified Kayong-Jeh-Halang,None,jehh1244
Jeh-Halang,None,jehh1244
Hre-Sedang-Todrah-Monam,None,nort3150
Bonam-Monam,None,hres1236
Hre-Sedang,None,hres1236
Lamamic,None,nort3150
West Bahnaric,None,bahn1264
Nuclear West Bahnaric,None,west2399
Loven-Suq,None,nucl1299
Unclassified West Bahnaric,None,west2399
South Bahnaric,None,bahn1264
Mnong-Stieng-Chrau,None,sout2690
Mnong,None,mnon1258
Southern-Central Mnong,None,mnon1259
Stieng,sti,mnon1258
Koho-Maa,None,sout2690
Eleman,None,tree
Western Eleman,None,nucl1580
Eastern Eleman,None,nucl1580
Senagi,genus/senagi,tree
Suki-Gogodala,None,tree
Gogodalic,None,suki1244
Ari-Waruna,None,gogo1264
Tungusic,genus/tungusic,tree
Manchu-Jurchen,None,tung1282
Manchu-Xibe,None,manc1250
Central Tungusic,None,tung1282
Central-Eastern Tungusic,None,east2366
Central-Western Tungusic,None,east2366
Ulchaic,None,orok1264
Northern Tungusic,None,tung1282
Northwestern Tungusic,None,nort3147
Chocoan,None,tree
Unclassified Chocoan,None,choc1280
Embera,None,choc1280
San Juan,None,embe1258
Upper San Juan,None,sanj1278
Atrato,None,embe1258
Panama-Baudo-Atrato,None,atra1235
Unclassifiable,None,tree
Turkic,None,tree
Bolgar,None,turk1311
Common Turkic,None,turk1311
North Siberian Turkic,None,comm1245
Turkestan Turkic,None,comm1245
Uyghur-Uzbek,None,karl1243
Modern Uyghur-Uzbek,None,uygh1241
Uzbek,uzb,uygh1240
Uighur-Ili,None,uygh1240
Kipchak,None,comm1245
West Kipchak,None,kipc1239
Crimean Tatar-Urum,None,west1472
Crimeaic,None,crim1256
East Kipchak,None,kipc1239
South Kipchak,None,kipc1239
Unclassified Kipchak,None,kipc1239
North Kipchak,None,kipc1239
Central Siberian Turkic,None,comm1245
South Siberian Turkic,None,cent2326
Yenisei-East Siberian Turkic,None,sout2693
Yenisey Turkic,None,yeni1256
East Siberian Turkic,None,yeni1256
Sayan,None,sout2693
Oghuz,None,comm1245
Nuclear Oghuz,None,oghu1243
West Oghuz,None,nucl1769
Central Oghuz,None,nucl1769
Modern Azeric,None,azer1255
East Oghuz,None,nucl1769
Kawesqar,None,tree
North Central Alacufan,None,kawe1237
Kwalean,None,tree
Humene-Kwale,None,kwal1257
Otomaco-Taparita,None,tree
Tupian,None,tree
Tuparic,None,tupi1275
Nuclear Tuparic,None,tupa1251
Akuntsu-Mekens,None,nucl1716
Mundurukuic,None,tupi1275
Purubora-Ramarama,None,tupi1275
Ramarama,genus/ramarama,puru1268
Arikemic,None,tupi1275
Monde,genus/monde,tupi1275
Gavianic,None,mond1266
Nuclear Gavianic,None,gavi1250
Maweti-Guarani,None,tupi1275
Aweti-Guarani,None,mawe1252
Tupi-Guarani,None,awet1245
Tupi-Guarani Subgroup IV,None,tupi1276
Tupi-Guarani Subgroup IV.A,None,tupi1279
Tupi-Guarani Subgroup IV.B,None,tupi1279
Southern Tupi-Guarani,None,tupi1276
Tupi-Guarani Subgroup I,None,sout3271
Tupi-Guarani Subgroup I.B,None,tupi1277
Chiriguanic,None,tupi1283
Tupi-Guarani Subgroup I.A,None,tupi1277
Paraguay-Brazil Guarani,None,tupi1282
Tupi-Guarani Subgroup II,None,sout3271
Warazu-Sirionoid,None,tupi1278
Sirionoid,None,wara1305
Tupi-Guarani Subgroup III,None,sout3271
Omagua-Kokama,None,tupi1287
Tupi-Guarani Subgroup V,None,tupi1276
Arawetic,None,subg1264
Tupi-Guarani Subgroup VI,None,tupi1276
Kawahiwa Meridionais,None,tupi1280
Amondava-Uru-Eu-Wau-Wau,None,kawa1293
Kawahiwa Setentrionais,None,tupi1280
Tupi-Guarani Subgroup VIII,None,tupi1276
Wayampi-Zoe-Emerillon,None,tupi1281
Zoe-Emerillon,None,waya1271
Guaja-Kaapor-Ava,None,tupi1281
Unclassified Guaja-Kaapor-Ava,None,guaj1258
Guaja-Aure-Aura,None,guaj1258
Yuruna,None,tupi1275
Unclassified Yuruna,None,yuru1262
Dizoid,None,tree
Gunwinyguan,None,tree
Gunwinyguan Bak,None,gunw1250
Eastern Gunwinyguan,None,gunw1253
Jala,None,east2701
Wubuy-Anindilyakwa,None,gunw1253
Marne,None,gunw1250
Central Gunwinyguan,None,marn1242
Western Gunwinyguan,None,gunw1250
Warrayic,None,west2432
Unclassified Warrayic,None,warr1259
Mixe-Zoque,None,tree
Mixe,None,mixe1284
Oaxaca Mixe,None,mixe1286
Lowland-Midland-South Highland Mixe,None,oaxa1241
Lowland-Midland Mixe,None,lowl1268
Lowland Mixe,None,lowl1269
Midland Mixe,None,lowl1269
Zoque,None,mixe1284
Chiapas Zoque,None,zoqu1261
Gulf Zoque,None,zoqu1261
Yanomamic,None,tree
Unclassified Yanomamic,None,yano1268
Ninam-Yanomam-Yaroame,None,yano1268
Yanomam-Yaroame,None,nina1239
Yanomam-Yanimamo,None,yano1266
Naduhup,None,tree
Eastern Naduhup,None,nada1235
Hup-Yuhup,None,east2549
Mairasic,None,tree
Athabaskan-Eyak-Tlingit,None,tree
Athabaskan-Eyak,None,atha1245
Athabaskan,genus/athapaskan,atha1246
Northwestern Canada Athabaskan,None,atha1247
Cordillera Athabaskan,None,nort3354
Beaver-Sekani,None,cord1235
Nahanni,None,cord1235
Slaveyic,None,nort3354
Slave,sla,hare1243
Pacific Coast Athabaskan,None,atha1247
California Athabaskan,None,paci1277
Oregon Athabaskan,None,paci1277
Rogue River,None,oreg1242
Southern Alaskan Athabaskan,None,atha1247
Central British Columbia Athabaskan,None,atha1247
Carrieric,None,cent2370
Dakelh,None,carr1250
Central Alaska-Yukon Athabaskan,None,atha1247
Tanana-Tutchone,None,cent2371
Tutchone,None,tana1299
Tananaic,None,tana1299
Upper Tananaic,None,tana1298
Gwichin-Han,None,cent2371
Koyukonic,None,cent2371
Apachean,None,atha1247
Southwestern Apachean,None,apac1239
Eastern Southwestern Apachean,None,sout3151
Western Southwestern Apachean,None,sout3151
Koreanic,None,tree
Arawan,None,tree
Madi-Madiha,None,araw1282
Madiha,None,madi1262
Atlantic-Congo,None,tree
Volta-Congo,None,atla1278
Benue-Congo,None,volt1241
Benue-Congo Plateau,None,benu1247
Alumic,None,benu1248
Jilic-Eggonic,None,alum1249
Jilic,None,jili1242
Eggon-Ake,None,jili1242
Alumu-Toro,None,alum1249
Hasha-Sambe,None,alum1250
Alumu-Akpondu,None,alum1250
Yukubenic,None,benu1248
Akum-Beezen,None,yuku1244
Beezen-Baazem,None,akum1239
Bete-Lufu,None,yuku1244
Unclassified Yukubenic,None,yuku1244
Benue-Congo Central Plateau,None,benu1248
South-Central Benue-Congo Plateau,None,benu1249
Nuclear Zaric,None,sout3163
Izeric,None,nucl1795
Katabic,None,nucl1795
Northern Benue-Congo Plateau,None,benu1248
Tarokoid,None,benu1248
Yangkam-Tarok-Pe,None,taro1265
Tarok-Pe,None,yang1302
Kwanka-Sur,None,taro1265
Unclassified Benue-Congo Plateau,None,benu1248
Beromic,None,benu1248
Iten-Cara-Berom,None,bero1241
Southeastern Benue-Congo Plateau,None,benu1248
Horom-Fyem,None,sout2800
Western Benue-Congo Plateau,None,benu1248
Ninzic,None,west2801
Kanufi-Ninkyob-Angan,None,ninz1247
Northwestern Benue-Congo Plateau,None,west2801
Hyamic,None,nort3184
Gyong-Kamantan,None,nort3184
Koroic,None,nort3184
Akpes-Edoid,None,benu1247
Edoid,genus/edoid,akpe1249
Northwestern Edoid,None,edoi1239
Osse,None,nort3183
Ukue-Ehueun,None,osse1244
Southern Northwestern Edoid,None,nort3183
Okpe-Akuku-Idesa,None,sout3171
Igwic,None,nort3183
Sasaru-Igwe,None,igwi1234
Ikpeshic,None,igwi1234
North-Central Edoid,None,edoi1239
Central Plains Edoid,None,nort3182
Emaic,None,cent2259
Afenmai-Bendel,None,nort3182
Uneme-Yekhee,None,afen1234
Southwestern Edoid,None,edoi1239
Delta Edoid,None,edoi1239
Degema-Engenni,None,delt1252
Idomoid,None,benu1247
Akweya,None,idom1262
Etulo-Idoma,None,etul1244
Nuclear Idoma,None,etul1246
Yatye-Akpa,None,idom1262
Defoid,genus/defoid,benu1247
Ayere-Ahan,None,defo1239
Yoruboid,None,defo1239
Edekiri,None,yoru1244
Ede,None,edek1238
Eastern Ede,None,edea1234
Southeastern Ede,None,east2738
Nuclear Yoruba,None,sout3186
Lucumi-Yoruba,None,nucl1747
Western Ede,None,edea1234
Southwestern Ede,None,west2827
Ebira-Nupoid,None,benu1247
Macro-Nupoid,None,ebir1244
Nupoid,genus/nupoid,nupe1252
Dibo-Kupa,None,nupo1239
Dibo-Kami,None,dibo1249
Kami-Abawa,None,dibo1250
Gbagyi-Gbari,None,nupe1252
Delta Cross,None,benu1247
Upper Cross,None,delt1251
Central Upper Cross,None,uppe1418
North-South Central Delta Cross,None,cent2027
Ubaghara-Kohumono,None,nort2790
Kohumonoic,None,ubag1244
Koring-Kukele,None,nort2790
Kukele-Uzekwe,None,kori1259
East-West Central Delta Cross,None,cent2027
Mbembe-Legbo,None,east2400
Legboic,None,mbem1251
Lenyima-Leyigha,None,legb1241
Lokoic,None,east2400
Lubila-Lokaa,None,loko1252
Agoi-Doko-Iyoniyong,None,uppe1418
Kiong-Korop,None,uppe1418
Ogonoid,None,delt1251
East Ogonoid,None,ogon1240
Tai-Kana,None,east2401
West Ogonoid,None,ogon1240
Central Delta,None,delt1251
Kugboic,None,cent2028
Obulomic,None,kugb1242
Abua-Odual,None,cent2028
Lower Cross,None,delt1251
Central Lower Cross,None,obol1242
Ibuoro-Nkari,None,cent2253
Efik-Ibibio,None,cent2253
Ekit-Etebi,None,cent2253
Oboloic,None,obol1242
Enwang-Uda,None,obol1242
Jukunoid,None,benu1247
Central Jukunoid,None,juku1257
Kpan-Icen,None,cent2241
Jukun-Mbembe-Wurbo,None,cent2241
Wurbo-Wannu,None,juku1258
Wurbo,None,wurb1240
Jukun,None,juku1258
Jibu-Wase,None,juku1259
Jibuic,None,jibu1240
Kororofa,None,juku1259
Kona,None,koro1322
Unclassified Benue-Congo,None,benu1247
Kainji,None,benu1247
Kainji Lake,None,kain1275
Upper Niger Kainji,None,kain1276
Oleran,None,uppe1457
Central Kainji,None,kain1275
Basa-Eastern Kainji,None,cent2242
Basa,None,basa1288
Kontagora-Gumna-Koromba,None,basa1279
Gumna-Kontagora,None,kont1247
Eastern Kainji,None,basa1288
Piti-Atsam,None,east2404
Jos,None,east2404
Northern Jos,None,josa1234
Shenic,None,nort3210
Lameic,None,nort3210
North-Central Jos,None,nort3210
Boze-Loro,None,nort3215
Chokobo-Lemoro-Sanga,None,nort3215
Lemoro-Sanga,None,chok1248
Ningic,None,nort3210
Kauru,None,josa1234
Northwestern Kainji,None,cent2242
Dukaic,None,duka1247
Main-Gwamhi,None,duka1250
Clela-Damakawa,None,duka1247
Kambari-Cicipu,None,cent2242
Kambaric,None,kamb1317
East Kambaric,None,kamb1319
West Kambaric,None,kamb1319
Shiroro-Kamuku,None,cent2242
Shiroro,None,shir1273
Kamuku-Hungwarya,None,shir1273
Kamuku,None,kamu1261
Rogo-Sagamuk-Sama-Sambuga,None,kamu1262
Sagamuk-Sama-Sambuga,None,rogo1239
Bantoid,None,benu1247
Southern Bantoid,None,bant1294
Mamfe,None,sout3152
Kendem-Denya,None,mamf1238
Narrow Bantu,None,sout3152
East Bantu,None,narr1281
Sabi,None,east2731
Malungu-Central Sabi,None,sabi1248
Central Sabi,None,malu1252
Bisa-Lamba (M.50),None,cent2321
Bemba (M.40),None,cent2321
Nyanga-Mituku-Lega,None,east2731
Mituku-Lega,None,nyan1317
Mitukuic,None,mitu1241
Lega Complex,None,mitu1241
Bembe-Buyu-Binja,None,lega1252
Buyu-Holoholo,None,bemb1260
Lega,None,lega1252
Western Lega,None,lega1253
Unclassified Nyanga-Mituku-Lega,None,nyan1317
Tumbuka-Sena-Nyanja,None,east2731
Tumbukic,None,tumb1253
Sena-Nyanja,None,tumb1253
Nyanjaic,None,sena1271
Senaic,None,sena1271
Corridor Bantu,None,east2731
Nyakyusa-Ndali,None,corr1234
Mbozi,None,corr1234
Nyika-Lambya,None,mboz1235
Nyika,None,nyik1250
Central and Southern Nyika,None,nyik1249
Mbozi-Malawi Nyika,None,cent2285
Mwika,None,mboz1235
Fipaic,None,mwik1240
Maluwawaru,None,fipa1240
Mbeya,None,mboz1235
Northeast Savanna Bantu,None,east2731
Unclassified Northeast Savanna Bantu,None,nort3203
Bende-Tongwe,None,uncl1498
Sukuma-Nyamwezi (F.20),None,nort3203
Nyamwezic,None,suku1274
Southern Tanzania Highlands Bantu,None,nort3203
Bena-Hehe,None,sout3185
Manda-Ngoni,None,sout3185
Kisi-Pangwa,None,sout3185
Kinga-Magoma,None,sout3185
Wanji-Sangu,None,sout3185
Northeast Coastal Bantu,None,nort3203
Ruvu,None,nort3209
East Ruvu,None,ruvu1235
Central East Ruvu,None,east2756
Kutu-Zaramo,None,cent2287
West Ruvu,None,ruvu1235
Seuta,None,west2846
Zigua-Nguu,None,seut1234
Bondei-Shambala,None,seut1234
Vidunda-Sagala,None,west2846
Pare-Taveta,None,nort3209
Pareic,None,pare1274
Coastal NEC Bantu,None,nort3209
Mijikenda-Pokomo-Comorian,None,coas1317
Mijikenda,None,miji1240
Northern Mijikenda,None,miji1238
Southern Mijikenda,None,miji1238
Comorian Bantu,None,miji1240
Shindzwani-Shimaore,None,como1260
Sabaki-Swahili,None,coas1317
Swahili (G.40),None,saba1282
Mombasa-Lamu-Inland Swahili,None,swah1254
Central Kenya Bantu,None,nort3203
Eastern Central Kenya Bantu,None,cent2274
Northern Central Kenya Bantu,None,cent2274
Western Central Kenya Bantu,None,cent2274
Kikuyu-Embu,None,west2840
Great Lakes Bantu,None,nort3203
Greater Luyia,None,grea1289
Luyia,None,grea1291
Saamia-Wanga-Bukusu,None,luyi1234
Bukusuic,None,saam1284
Saamia-Wanga,None,saam1284
Western Luyia,None,saam1285
Central Luyia,None,saam1285
Unclassified Greater Luyia,None,grea1291
Western Lakes Bantu,None,grea1289
Kivu,None,west2842
Forest Kivu,None,kivu1239
Fuliiric,None,fore1272
Fuliiru-Vira,None,fuli1241
Hunde-Havu,None,fore1272
West Highlands Kivu,None,kivu1239
Hangaza-Shubi,None,rwan1241
Rwenzori,None,west2842
East Nyanza,None,grea1289
Nyanza Mara,None,east2750
North Mara,None,nyan1318
South Mara,None,nyan1318
Ikoma-Nata-Isenye,None,sout3201
Unclassified Mara,None,nyan1318
Suguti,None,east2750
West Nyanza,None,grea1289
North Nyanza,None,west2841
Soga-Kenyi,None,nort3220
Rutara,None,west2841
North Rutara,None,ruta1242
Nkore-Kiga-Nyoro-Tooro,None,nort3228
Nyoro-Tooro,None,nkor1240
Nkore-Kiga,None,nkor1240
South Rutara,None,ruta1242
Kilimanjaro-Taita,None,nort3203
Taita-Sagalla,None,kili1269
Kilimanjaro Bantu,None,kili1269
Chaga,None,chag1248
West Kilimanjaro,None,chag1250
Central Kilimanjaro,None,chag1250
Rufiji-Ruvuma,None,east2731
Ruvuma,None,rufi1235
Yaoic,None,ruvu1234
Makonde-Makwe,None,ruvu1234
Unclassified Ruvuma,None,ruvu1234
Rufijic,None,rufi1235
Matumbic,None,rufi1236
Matengic,None,rufi1236
Ndendeule-Ngindo,None,mate1261
Unclassified Rufijic,None,rufi1236
Botatwe,None,east2731
Western Botatwe,None,bota1239
Zambezi Hook,None,west2834
Machili,None,west2834
Greater Eastern Botatwe,None,bota1239
Central Eastern Botatwe,None,lenj1247
Kafue,None,cent2279
Kilombero,None,east2731
Shona (S.10),None,east2731
Unclassified Shona (S. 10),None,shon1250
Kalanga-Nambya,None,shon1250
Core Shona,None,shon1250
Plateau Shona,None,core1255
Central Shona,None,plat1259
Enya (D.10),None,east2731
Nyaturu-Nilamba,None,east2731
Mbugwe-Langi,None,east2731
Southern Bantu-Makua,None,east2731
Chopi (S.60),None,sout3180
Nguni-Tsonga,None,sout3180
Nguni (S.40),None,ngun1275
Southern Ndebele-Lowland,None,ngun1276
Zulu-Xhosa,None,ngun1267
Tswa-Ronga (S.50),None,ngun1275
Sotho-Makua-Venda,None,sout3180
Sotho-Makua,None,soth1250
Sotho-Tswana (S.30),None,soth1251
Tswanaic,None,soth1248
Sotho,None,soth1248
Northern Sotho,None,soth1252
Sepedic,None,nort3233
Sesotho-Lozi,None,soth1252
North Mozambique Bantu,None,soth1251
Makua-Lomwe,None,maku1247
Lomweic,None,maku1279
Chuwaboic,None,maku1247
Ababuan,None,narr1281
Old Bomokandian,None,abab1240
Ngbele-Ngenda,None,oldb1234
Extreme North Vestigial Suffixes Bantu,None,ngbe1239
Ngendan,None,ngbe1239
Ngbinda-Mayeka,None,ngen1255
Unclassified Ngendan,None,ngen1255
Komoic,None,oldb1234
Bilaic,None,komo1265
Bila-Kaiku,None,bila1258
Middle Bomokandian,None,oldb1234
Late Bomokandian,None,midd1348
Pagabeteic,None,late1250
Bali-Beeke,None,abab1240
Central-Western Bantu,None,narr1281
Njebe-Mbete-Teke,None,cent2260
Sigu-Njebi,None,njeb1243
Njebi (B.50),None,sigu1234
Ndjavi B,None,njeb1244
Ndjavi A,None,njeb1244
Teke (B.70),None,njeb1243
Ngungwel-Eboo,None,teke1283
West Teke,None,teke1283
Laali-Tsaayi-Yaka,None,west2839
Laali-Yaa,None,laal1243
South Teke,None,teke1283
Mbere (B.60),None,njeb1243
Tsitsege-Ombamba,None,mber1262
Ombambaic,None,tsit1234
Ndumu-Bakanike,None,mber1262
Likouala-Sangha,None,cent2260
Mokiba-Ngando,None,liko1251
Bwamba-Ngondi-Pande-Mbati-Aka,None,liko1251
Koyo-Mboshi,None,cent2260
Likwala-Likuba,None,koyo1244
Luban,None,cent2260
Mbagani-Lwalwa,None,luba1253
Luba-Kaonde,None,luba1253
Kaonde-Shaba-Sanga,None,luba1254
Lubaic,None,luba1254
Bangubangu-Kasai,None,luba1255
Njila,None,cent2260
Northern Njila,None,njil1234
Mbala-Holu-Sondi (K.10),None,nort3257
Mbala-Sondi,None,mbal1259
Holu (K.10),None,mbal1259
Pheende-Kwezo,None,holu1246
Mbundu (H.20),None,nort3257
Southern Njila,None,njil1234
Kunene,None,sout3233
Unclassified Kunene,None,kune1234
Kwangali-Diriku,None,kune1234
Cimbebasia,None,kune1234
Nyaneka-Nkhumbi,None,cimb1239
Herero (R.30),None,cimb1239
Ndonga (R.20),None,cimb1239
Unclassified Ndonga (R.20),None,ndon1253
Kwambi-Ndonga,None,ndon1253
Chokwe-Lunda,None,sout3233
Chokwe-Ngangela-Nyemba (K.20),None,chok1246
Ngangela-Nyemba,None,chok1244
