id,name,parent,latitude,longitude,countries,macroareas,status
ngz,Ngungwel,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njeb1243|teke1283|ngun1278|ngun1272,-1.82055,15.6218,|CG,|Africa,not endangered
tyi,Teke-Tsaayi,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njeb1243|teke1283|west2839|laal1243|teke1281,-2.98028,13.8603,|CG|GA,|Africa,threatened
lli,Teke-Laali,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njeb1243|teke1283|west2839|laal1243|laal1244|teke1277,-3.34458,13.2703,|CG,|Africa,threatened
iyx,Yaka (Congo),atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njeb1243|teke1283|west2839|laal1243|laal1244|yaka1274,-3.73301,13.3637,|CG,|Africa,not endangered
tyx,Teke-Tyee,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njeb1243|teke1283|west2839|teke1276,-3.50685,13.8668,|CG,|Africa,not endangered
kkw,Teke-Kukuya,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njeb1243|teke1283|sout3192|teke1280,-2.27122,14.4407,|CG|GA,|Africa,not endangered
ifm,Teke-Fuumu,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njeb1243|teke1283|sout3192|teke1274,-3.59003,15.5061,|CG|CD,|Africa,threatened
tek,Ibali Teke,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njeb1243|teke1283|ibal1241,-4.20697,15.3893,|CG|CD,|Africa,not endangered
tck,Tchitchege,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njeb1243|mber1262|tsit1234|tchi1245,-2.03393,13.6001,|GA,|Africa,shifting
nlo,Ngul,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njeb1243|mber1262|tsit1234|omba1243|ngul1247,-4.09816,19.5129,|CD,|Africa,not endangered
teg,Teke-Tege,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njeb1243|mber1262|tsit1234|omba1243|teke1275,-1.61688,14.8664,|CG|GA,|Africa,not endangered
mbm,Ombamba,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njeb1243|mber1262|tsit1234|omba1243|omba1241,-2.75341,13.617,|CG|GA,|Africa,not endangered
mdt,Mbere,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njeb1243|mber1262|tsit1234|omba1243|mber1257,-0.477445,14.2877,|CG|GA,|Africa,not endangered
nmd,Ndumu,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njeb1243|mber1262|ndum1240|ndum1239,-1.67033,13.7279,|GA,|Africa,threatened
kzo,Kaningi,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njeb1243|mber1262|ndum1240|kani1279,-1.71316,13.6111,|GA,|Africa,threatened
None,Mikaya-Bambengangale-Baluma,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|liko1251|mika1256,1.488279,15.951762,|CG,|Africa,None
zmx,Bomitaba,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|liko1251|bomi1238,1.70044,17.3733,|CF|CG,|Africa,threatened
ngd,Ngando (Central African Republic),atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|liko1251|moki1244|ngan1304,3.71666,17.6499,|CF,|Africa,not endangered
bui,Bongili,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|liko1251|moki1244|bong1284,0.37063,16.6079,|CG,|Africa,not endangered
ndn,Ngundi,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|liko1251|bwam1249|ngun1270,1.63917,16.125,|CM|CF|CG,|Africa,threatened
bkj,Pande,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|liko1251|bwam1249|pand1264,3.57935,16.22754,|CF,|Africa,shifting
mdn,Mbati,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|liko1251|bwam1249|mbat1248,3.94184,17.7529,|CF,|Africa,not endangered
axk,Yaka (Central African Republic),atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|liko1251|bwam1249|yaka1272,3.6515,17.2713,|CM|CF|CG,|Africa,threatened
bvx,Dibole,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|liko1251|dibo1245,1.07773,17.2305,|CG,|Africa,shifting
bok,Impfondo,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|liko1251|bonj1234,2.39823,17.6298,|CG,|Africa,shifting
mdw,Mbosi,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|koyo1244|mbos1242,-1.23019,15.5322,|CG,|Africa,threatened
akw,Akwa,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|koyo1244|akwa1248,-0.39897,15.4623,|CG,|Africa,threatened
kwc,Likwala,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|koyo1244|likw1240|likw1239,-0.48981,16.5967,|CG,|Africa,not endangered
kxx,Likuba,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|koyo1244|likw1240|liku1242,-1.27931,16.4702,|CG|CD,|Africa,not endangered
koh,Koyo,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|koyo1244|koyo1242,-0.69688,15.7508,|CG,|Africa,threatened
mdu,Mboko,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|koyo1244|mbok1243,0.43541,14.7935,|CG,|Africa,not endangered
sop,Songe,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|luba1253|mbag1239|song1303,-5.71993,25.2765,|CD,|Africa,not endangered
luj,Luna,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|luba1253|mbag1239|luna1244,-5.08693,23.5426,|CD,|Africa,not endangered
bpj,Binji,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|luba1253|mbag1239|binj1249,-6.7,21.7,|CD,|Africa,not endangered
lwa,Lwalu,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|luba1253|mbag1239|lwal1238,-7.16388,22.1097,|AO|CD,|Africa,not endangered
nka,Nkoya,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|luba1253|nkoy1244,-14.8513,24.7649,|ZM,|Africa,not endangered
kqn,Kaonde,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|luba1253|luba1254|kaon1242|kaon1241,-12.4129,25.7646,|CD|ZM,|Africa,not endangered
lub,Luba-Katanga,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|luba1253|luba1254|kaon1242|luba1250,-8.2816,25.8918,|CD,|Africa,threatened
sng,Sanga (Democratic Republic of Congo),atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|luba1253|luba1254|kaon1242|sang1331,-10.0236,26.8462,|CD,|Africa,not endangered
kny,Kanyok,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|luba1253|luba1254|luba1255|kany1247,-7.31878,23.613,|CD,|Africa,not endangered
bnx,Bangubangu,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|luba1253|luba1254|luba1255|bang1371|bang1350,-4.31464,27.2438,|CD,|Africa,not endangered
hem,Hemba-Yazi,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|luba1253|luba1254|luba1255|bang1371|hemb1242,-7.77459,27.5913,|CD,|Africa,not endangered
lua,Luba-Lulua,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|luba1253|luba1254|luba1255|bang1371|luba1249,-5.72717,22.4422,|AO|CD,|Africa,not endangered
yey,Yeyi,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|yeyi1239,-18.9178,23.6088,|BW|NA,|Africa,moribund
mdp,Mbala,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njil1234|nort3257|mbal1259|mbal1260|mbal1257,-5.11888,18.041,|CD,|Africa,not endangered
shc,Sonde,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njil1234|nort3257|mbal1259|mbal1260|sond1250,-6.32223,18.3555,|CD,|Africa,not endangered
pem,Phende,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njil1234|nort3257|mbal1259|holu1246|phee1234|phen1239,-5.64735,19.8275,|CD,|Africa,not endangered
mxg,Mbangala,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njil1234|nort3257|mbal1259|holu1246|phee1234|mban1264,-9.15592,17.4086,|AO,|Africa,not endangered
kws,Kwese,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njil1234|nort3257|mbal1259|holu1246|phee1234|kwes1244,-5.60445,18.5759,|CD,|Africa,not endangered
hol,Holu,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njil1234|nort3257|mbal1259|holu1246|holu1245,-8.14754,17.572,|AO|CD,|Africa,not endangered
blv,Kibala,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njil1234|nort3257|mbun1247|bolo1261,-10.3511,15.0867,|AO,|Africa,shifting
nsx,Nsongo,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njil1234|nort3257|mbun1247|nson1238,-10.5166,16.7348,|AO,|Africa,not endangered
pnd,Mpinda,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njil1234|nort3257|mbun1247|mpin1234,-10.76,13.72,,|Africa,threatened
smd,Sama,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njil1234|nort3257|mbun1247|sama1300,-9.86931,13.8713,|AO,|Africa,not endangered
kmb,Kimbundu,atla1278|volt1241|benu1247|bant1294|sout3152|narr1281|cent2260|njil1234|nort3257|mbun1247|kimb1241,-8.97835,14.8893,|AO|CD,|Africa,not endangered
